"","CV_QC","CV_Samples"
"M20208",37.2317392617857,103.279777571746
"M11937",45.3338091778698,56.2347583310666
"M29641",27.1348020379383,54.2332283282054
"M28452",73.6065791646215,208.680537473993
"M6000",32.7369136343362,62.9881897315065
"M21094",17.0764519226053,36.6507830416031
"M23577",64.5899680650621,83.3901596047986
"M20834",37.4006462267853,82.6623046223891
"M30473",82.4195173453522,116.910252327596
"M34098",135.405998199047,100.091938500876
"M10272",13.9242095520643,162.20277754836
"M29269",59.5249099615928,139.482501919112
"M4741",72.9079655708343,61.5818449055732
"M13994",47.7884030520169,96.8739183337212
"M27235",23.0690567788135,44.7748242209794
"M28817",53.4081396197747,107.59007423843
"M40871",221.520177653145,109.669195373156
"M31208",49.6870199862614,125.181489901801
"M36704",120.779123968393,172.092278750131
"M27408",64.1216775120068,93.5639167674731
"M15407",14.0930682700353,45.3244196650856
"M5462",34.6058606920206,59.2338807624221
"M5463",67.7060326512179,132.973574031329
"M6002",50.947194892179,107.405956896676
"M4742",30.3650569757155,53.5623935564078
"M11304",10.6304660803431,67.5216019694142
"M42472",170.451999280077,135.420738837346
"M3782",16.6655989256391,111.94723209921
"M23444",76.7554918045578,108.512631970787
"M12057",90.4181358970818,63.7466547240329
"M23445",28.5573141164957,61.6445901116664
"M33216",111.010941838897,145.886582198419
"M28818",65.3154668481157,126.725275034823
"M33217",143.857183617365,107.97898899507
"M31209",44.5083967938035,35.1987945680328
"M4743",56.2552555552794,58.4611981827544
"M39895",78.1611427375554,181.152825352695
"M5464",15.477072145112,39.3208612777939
"M35695",131.919561237716,218.372828826009
"M2201",11.3763792338123,79.3623324990477
"M16464",18.6397108624854,61.407504514924
"M31432",60.2702649978849,93.2264776609115
"M1559",21.8217376304396,55.3770126377771
"M9522",20.347517760345,70.4402541067189
"M17611",78.4545829288638,109.086790319867
"M33433",113.844117405455,83.675099072142
"M15285",65.7808496404273,164.644670538099
"M30718",112.191899355895,107.182483316621
"M14470",33.9189530148272,56.4416231957932
"M6003",26.2367011484249,87.7977094089142
