"","PC1","PC2","PC3"
"F986",0.000993219957322166,-0.000947951253789699,0.00289894512138716
"F987",0.000266097362762806,-0.0138974118939718,0.00224753381417147
"F988",0.00340336721984155,0.00402261296443084,0.00206836742280075
"F989",0.00130176145897723,0.000683147343123104,-0.0024634497232788
"F1001",-0.00910440226025252,0.0071342182760689,0.0113361643789567
"F1002",-0.000587420634640723,-0.0102844835151875,0.00214701496392634
"F1003",-0.00607450616017978,0.0019789006748727,0.0138651955749024
"F1004",-0.00669668655394226,-0.00519511169326697,0.0151922531552501
"F1005",-0.00485158536051445,-0.00418374655708908,0.00893003397113078
"F1006",-0.00252842150163801,-0.00731059121212689,0.00153012567671106
"F1007",-0.00501417829647327,-0.0119306909864794,0.00731654137562915
"F1008",-0.00178766656765371,-0.00682598688743465,0.00557330898672595
"F1009",-0.00135548824157822,-0.0141868555486081,-0.00126054441013468
"F1011",0.00139974671050213,-0.0102664490354438,-0.00234507640999672
"F1012",0.00106580692087382,0.00394613856755584,-0.0120975252830922
"F1013",-0.00211370300270622,-0.0119489895442294,-0.00195524689659725
"F1014",-0.00492358722262389,-0.0123069812311696,0.00130915821745372
"F1015",-0.00426497363888451,-0.0124606061604304,0.000213197852693751
"F1016",-0.00487759712416319,-0.0122211950799838,0.00259131795383963
"F1017",-0.00729567090250224,-0.00130154737484648,0.00519105753301893
"F1018",0.00144567324983751,-0.00853985723353123,0.00538242252579353
"F1027",-0.00811507590909646,-0.0129134220566639,-0.000623975699813071
"F1029",-0.01245028735555,0.00177993774867309,0.00787497976609402
"F1034",-0.0118479042525535,0.000347020838964556,0.00942179765853335
"F1036",-0.0111168155025777,0.00337089963836849,0.00916143328615946
"F1038",-0.0117669614169118,0.00016231730927029,0.00827844951393013
"F1039",-0.0120477134307223,0.000684365076107119,0.00637613834735434
"F1045",-0.0037074158313351,0.00610856501066566,0.00581774294080538
"F1048",-0.00401693768203157,-0.00618648189377723,-0.00117358751770568
"F1049",-0.00911609406412232,0.0025453225596736,0.00800480911376976
"F1050",0.0015820176849339,0.00597315891947092,0.0101964223549175
"F1051",-0.00405416721007379,-0.00782308172400457,-0.00269210641898769
"F1052",0.00083075394716797,-0.0100556545216152,0.00613003139386841
"F1053",-0.0100290931818561,0.0017534161113776,0.00950121386794922
"F1054",-0.00353905366968099,-0.00739531309204932,-0.00108190445623717
"F1055",-0.00230273055137313,0.0121107144608591,0.00426503825615914
"F1056",-0.000813008333564251,0.00586798611025025,0.0100953128811398
"F1057",0.00448695733063947,0.0134877926343971,0.0129497617346926
"F1058",-0.00130099369397517,0.00243587498924003,0.00673545842215361
"F1062",0.00582671910958941,0.00421501311588828,-9.86005406064395e-06
"F1063",-0.00212184855558309,-0.00912321966776335,0.000928021714534436
"F1064",0.00417100724120485,-0.00630404548778639,0.0090889465050977
"F1066",-0.00122792735478756,-0.0043418109563935,0.00169018111695099
"F1067",-0.00244547998327839,-0.00450501917193293,0.00110303185523063
"F1068",-0.00057712649623527,0.00916120345231706,0.00435346601379578
"F1069",0.000957110185858952,-0.00462541581015123,0.00508879853442036
"F1070",-0.00160458849570473,0.00763078144865899,0.0081137897711771
"F1071",-0.00746254490756445,0.00330797328643651,-0.00209911684806425
"F1111",-0.00463621261003899,-0.000402144576399579,0.00269380904119499
"F1112",0.00254096749567932,0.00271742605061896,0.00334512815166679
"F1114",0.008114404772354,-0.00396300760936821,0.00622544359252171
"F1115",0.00629686802129154,-0.00532326663529318,0.00688963812449766
"F1117",0.00811809483259401,-0.00823339857649385,0.0107692977742822
"F1118",0.00659858318278852,-0.00394362773650658,0.0101000342516018
"F1119",0.00147764140261532,0.00102591922456529,0.000697170501194609
"F1120",-0.00341122116579954,-0.00967764398432728,-0.002272476293727
"F1145",-0.0128700809480573,-0.000459504798232012,0.00288147223388228
"F1146",-0.0128871758024145,-0.00049188696729899,0.00287970890723982
"F1150",-0.00767795926623306,0.000363728557657506,0.00545039503098517
"F1153",-0.0022553169312928,-0.00589548716764802,0.00534985552366106
"F1154",0.0015148149338299,0.0104433438049947,0.0172647378500841
"F1155",0.00311611105963329,-0.00366141837352747,0.0132708528058031
"F1163",-0.00954669499153107,-0.00223759127437784,0.00657871935250205
"F1164",-0.00323443575115825,-0.00153233053628389,0.00444697404640691
"F1175",-0.00502708720968435,0.00188354878015101,0.0137751344523312
"F1178",0.00432190796397899,0.010816739992596,0.0103636473494095
"F1179",0.000839132322751808,0.00661812909407668,0.00334685779709925
"F1180",0.00385579944716859,0.0052764501138741,0.00474582454622891
"F1182",-0.00276023052556204,-0.000104356413961422,0.0046724964423155
"F1183",-0.00395282077756443,-0.0143208843051203,-0.000273503105643441
"F1184",0.000937459730194622,-0.0126207130725135,0.00275920564186599
"F1185",0.00471252574888499,-0.0139676420935151,0.00614613657879996
"F1209",-0.0125728086172162,-0.0023038184861719,0.00616815843531356
"F1226",-0.00129231264077546,0.0159403987572019,0.000858997553459645
"F1227",-0.00187393310601327,0.0158820053621921,0.00107780471681975
"F1228",-0.00134697604814225,0.0161268591868189,0.00120198750483237
"F1231",0.000981655399931502,-0.00754314765181525,0.00998146061403874
"F1232",-0.00122866764606802,-0.00871242328789767,0.0105595572921074
"F1233",-0.00651179805269079,0.00660363154755402,0.0152672308535726
